"t","condition","iv","dv","dvb"
1,"Fruit",15,139.010627738358,142.155887071037
2,"Fruit",15,128.998643132254,115.444087240204
3,"Fruit",15,145.200634581469,131.671871520031
4,"Fruit",15,137.556358839674,136.373202932678
5,"Fruit",15,127.49127377749,130.195653674802
6,"Fruit",15,134.096706054985,112.179631682872
7,"Fruit",15,147.042999867906,137.173172949156
8,"Fruit",15,152.467012637525,140.282911303239
9,"Fruit",15,145.034096592933,146.082296722779
10,"Fruit",15,132.773092657518,122.365645757338
1,"Veggie",5,142.155887071037,139.010627738358
2,"Veggie",5,115.444087240204,128.998643132254
3,"Veggie",5,131.671871520031,145.200634581469
4,"Veggie",5,136.373202932678,137.556358839674
5,"Veggie",5,130.195653674802,127.49127377749
6,"Veggie",5,112.179631682872,134.096706054985
7,"Veggie",5,137.173172949156,147.042999867906
8,"Veggie",5,140.282911303239,152.467012637525
9,"Veggie",5,146.082296722779,145.034096592933
10,"Veggie",5,122.365645757338,132.773092657518
