"t","condition","iv","dv","dvb"
1,"Fruit",15,130.323941716851,115.467471073149
2,"Fruit",15,124.988487876609,122.594309202417
3,"Fruit",15,140.909905162756,129.896321687395
4,"Fruit",15,153.928553146263,119.285360045886
5,"Fruit",15,129.960296909877,137.933061487527
6,"Fruit",15,133.443080912626,118.682739845166
7,"Fruit",15,134.185982977237,146.949905601649
8,"Fruit",15,128.605304854268,114.73986596626
9,"Fruit",15,149.674346417048,128.061365629814
10,"Fruit",15,140.202610379945,111.565805985111
1,"Veggie",5,115.467471073149,130.323941716851
2,"Veggie",5,122.594309202417,124.988487876609
3,"Veggie",5,129.896321687395,140.909905162756
4,"Veggie",5,119.285360045886,153.928553146263
5,"Veggie",5,137.933061487527,129.960296909877
6,"Veggie",5,118.682739845166,133.443080912626
7,"Veggie",5,146.949905601649,134.185982977237
8,"Veggie",5,114.73986596626,128.605304854268
9,"Veggie",5,128.061365629814,149.674346417048
10,"Veggie",5,111.565805985111,140.202610379945
