"t","condition","iv","wdv","wdvb"
1,"Fruit",15,124.78337910353,108.94471966701
2,"Fruit",15,149.715114940699,132.4198338916
3,"Fruit",15,154.074461656635,141.645517559775
4,"Fruit",15,122.791510270843,101.94903375992
5,"Fruit",15,139.982271638903,122.703251541559
6,"Fruit",15,140.292180192131,139.413114017988
7,"Fruit",15,130.321632374396,121.322412475101
8,"Fruit",15,151.069624831911,141.351104559704
9,"Fruit",15,103.100576937758,89.6264188749542
10,"Fruit",15,184.219091067394,170.884364946097
1,"Veggie",5,108.94471966701,124.78337910353
2,"Veggie",5,132.4198338916,149.715114940699
3,"Veggie",5,141.645517559775,154.074461656635
4,"Veggie",5,101.94903375992,122.791510270843
5,"Veggie",5,122.703251541559,139.982271638903
6,"Veggie",5,139.413114017988,140.292180192131
7,"Veggie",5,121.322412475101,130.321632374396
8,"Veggie",5,141.351104559704,151.069624831911
9,"Veggie",5,89.6264188749542,103.100576937758
10,"Veggie",5,170.884364946097,184.219091067394
