"t","condition","iv","dv","dvb"
1,"Fruit",15,159.265186427527,142.350553331822
2,"Fruit",15,162.834374753437,129.662825880816
3,"Fruit",15,155.288441660501,152.284835401742
4,"Fruit",15,150.513796751481,139.938388374634
5,"Fruit",15,155.554858134245,116.889490627212
6,"Fruit",15,140.452703001575,136.38445347565
7,"Fruit",15,143.764272064144,146.330075901567
8,"Fruit",15,149.292190974695,130.235075839878
9,"Fruit",15,152.569106689669,135.572571882667
10,"Fruit",15,138.628028826779,127.734005021965
1,"Veggie",5,142.350553331822,159.265186427527
2,"Veggie",5,129.662825880816,162.834374753437
3,"Veggie",5,152.284835401742,155.288441660501
4,"Veggie",5,139.938388374634,150.513796751481
5,"Veggie",5,116.889490627212,155.554858134245
6,"Veggie",5,136.38445347565,140.452703001575
7,"Veggie",5,146.330075901567,143.764272064144
8,"Veggie",5,130.235075839878,149.292190974695
9,"Veggie",5,135.572571882667,152.569106689669
10,"Veggie",5,127.734005021965,138.628028826779
