"t","condition","iv","wdv","wdvb"
1,"Fruit",15,106.271027109522,94.3225738069796
2,"Fruit",15,116.406542088931,120.122970879401
3,"Fruit",15,158.217678822954,148.143422992373
4,"Fruit",15,151.958599250228,122.11538878347
5,"Fruit",15,165.680374570824,144.480735403942
6,"Fruit",15,141.937164866124,133.841539564419
7,"Fruit",15,141.112749787206,135.827937457074
8,"Fruit",15,126.074918453814,110.785366422011
9,"Fruit",15,141.21748452223,128.151853152196
10,"Fruit",15,157.076054978582,114.561210929021
1,"Veggie",5,94.3225738069796,106.271027109522
2,"Veggie",5,120.122970879401,116.406542088931
3,"Veggie",5,148.143422992373,158.217678822954
4,"Veggie",5,122.11538878347,151.958599250228
5,"Veggie",5,144.480735403942,165.680374570824
6,"Veggie",5,133.841539564419,141.937164866124
7,"Veggie",5,135.827937457074,141.112749787206
8,"Veggie",5,110.785366422011,126.074918453814
9,"Veggie",5,128.151853152196,141.21748452223
10,"Veggie",5,114.561210929021,157.076054978582
