"t","condition","iv","wdv","wdvb"
1,"Fruit",15,142.244829172684,122.305419674138
2,"Fruit",15,132.795453037064,112.298254003588
3,"Fruit",15,129.448017035958,119.10900431589
4,"Fruit",15,143.622541064044,143.835082082161
5,"Fruit",15,121.34987232938,110.35096809086
6,"Fruit",15,119.295016569687,111.823621535966
7,"Fruit",15,126.788855631248,114.255103304465
8,"Fruit",15,180.182349095159,171.733783480835
9,"Fruit",15,90.2529286203849,105.12120020162
10,"Fruit",15,123.215341784856,115.729580519859
1,"Veggie",5,122.305419674138,142.244829172684
2,"Veggie",5,112.298254003588,132.795453037064
3,"Veggie",5,119.10900431589,129.448017035958
4,"Veggie",5,143.835082082161,143.622541064044
5,"Veggie",5,110.35096809086,121.34987232938
6,"Veggie",5,111.823621535966,119.295016569687
7,"Veggie",5,114.255103304465,126.788855631248
8,"Veggie",5,171.733783480835,180.182349095159
9,"Veggie",5,105.12120020162,90.2529286203849
10,"Veggie",5,115.729580519859,123.215341784856
