"t","condition","iv","dv","dvb"
1,"Fruit",15,121.475819603542,126.025118461145
2,"Fruit",15,122.308689670676,133.73659464483
3,"Fruit",15,148.815590553817,132.059195043495
4,"Fruit",15,148.479766296122,118.636555829364
5,"Fruit",15,157.100275223044,138.741334723235
6,"Fruit",15,140.1548203452,113.532370184314
7,"Fruit",15,139.021406974963,109.527366301
8,"Fruit",15,133.416437569869,135.900636056162
9,"Fruit",15,139.132573979309,118.126885538066
10,"Fruit",15,156.047214233875,126.066942609275
1,"Veggie",5,126.025118461145,121.475819603542
2,"Veggie",5,133.73659464483,122.308689670676
3,"Veggie",5,132.059195043495,148.815590553817
4,"Veggie",5,118.636555829364,148.479766296122
5,"Veggie",5,138.741334723235,157.100275223044
6,"Veggie",5,113.532370184314,140.1548203452
7,"Veggie",5,109.527366301,139.021406974963
8,"Veggie",5,135.900636056162,133.416437569869
9,"Veggie",5,118.126885538066,139.132573979309
10,"Veggie",5,126.066942609275,156.047214233875
