"t","condition","iv","dv","measure"
1,"Fruit",15,206.831601449437,"???"
2,"Fruit",15,195.606618278792,"???"
3,"Fruit",15,173.726973857766,"???"
4,"Fruit",15,190.099318606367,"???"
5,"Fruit",15,183.431875656527,"???"
6,"Fruit",15,191.723522959848,"???"
7,"Fruit",15,197.455693179037,"???"
8,"Fruit",15,183.918435414844,"???"
9,"Fruit",15,188.313404721892,"???"
10,"Fruit",15,187.582081097364,"???"
11,"Veggie",5,184.334417113363,"???"
12,"Veggie",5,187.110932581,"???"
13,"Veggie",5,165.41535401241,"???"
14,"Veggie",5,169.218461597358,"???"
15,"Veggie",5,187.705183727196,"???"
16,"Veggie",5,168.375220878536,"???"
17,"Veggie",5,177.549022029123,"???"
18,"Veggie",5,191.733562483162,"???"
19,"Veggie",5,159.918365500587,"???"
20,"Veggie",5,159.592606292066,"???"
