"t","condition","iv","dv","dvb"
1,"Fruit",15,142.885333651029,136.333761806972
2,"Fruit",15,151.173120410964,133.829949785602
3,"Fruit",15,146.745692144469,123.4332228575
4,"Fruit",15,150.719171286957,138.49748344939
5,"Fruit",15,137.306494619339,139.916584592956
6,"Fruit",15,133.463895174391,119.551189251359
7,"Fruit",15,115.54075547234,109.899364510073
8,"Fruit",15,135.817274962073,116.975542819866
9,"Fruit",15,144.900616111399,125.642099448925
10,"Fruit",15,136.689338568843,118.390736060151
1,"Veggie",5,136.333761806972,142.885333651029
2,"Veggie",5,133.829949785602,151.173120410964
3,"Veggie",5,123.4332228575,146.745692144469
4,"Veggie",5,138.49748344939,150.719171286957
5,"Veggie",5,139.916584592956,137.306494619339
6,"Veggie",5,119.551189251359,133.463895174391
7,"Veggie",5,109.899364510073,115.54075547234
8,"Veggie",5,116.975542819866,135.817274962073
9,"Veggie",5,125.642099448925,144.900616111399
10,"Veggie",5,118.390736060151,136.689338568843
