"t","condition","iv","dv","dvb"
1,"Fruit",15,155.429450729781,127.808969492166
2,"Fruit",15,139.011050331446,125.077989873337
3,"Fruit",15,110.047937872916,123.292984515063
4,"Fruit",15,130.860429811889,119.476925397774
5,"Fruit",15,134.894174611533,103.315825579857
6,"Fruit",15,133.925142474506,140.005736774275
7,"Fruit",15,136.520146458514,144.142493809378
8,"Fruit",15,121.403630233521,122.938006310438
9,"Fruit",15,159.741372437257,120.629052392845
10,"Fruit",15,135.448413722104,136.59860763918
1,"Veggie",5,127.808969492166,155.429450729781
2,"Veggie",5,125.077989873337,139.011050331446
3,"Veggie",5,123.292984515063,110.047937872916
4,"Veggie",5,119.476925397774,130.860429811889
5,"Veggie",5,103.315825579857,134.894174611533
6,"Veggie",5,140.005736774275,133.925142474506
7,"Veggie",5,144.142493809378,136.520146458514
8,"Veggie",5,122.938006310438,121.403630233521
9,"Veggie",5,120.629052392845,159.741372437257
10,"Veggie",5,136.59860763918,135.448413722104
