"t","condition","iv","dv","dvb"
1,"Fruit",15,148.3524948713,130.662814716475
2,"Fruit",15,152.422344191378,147.110598628321
3,"Fruit",15,148.853147178876,131.366883797723
4,"Fruit",15,142.492436697427,133.771118601654
5,"Fruit",15,147.523037936499,134.256457490241
6,"Fruit",15,136.392717801086,123.28325057255
7,"Fruit",15,131.554918416356,117.68095923531
8,"Fruit",15,128.386191294398,115.254366091319
9,"Fruit",15,135.722648010076,124.298496874776
10,"Fruit",15,135.056260090586,125.159925540796
1,"Veggie",5,130.662814716475,148.3524948713
2,"Veggie",5,147.110598628321,152.422344191378
3,"Veggie",5,131.366883797723,148.853147178876
4,"Veggie",5,133.771118601654,142.492436697427
5,"Veggie",5,134.256457490241,147.523037936499
6,"Veggie",5,123.28325057255,136.392717801086
7,"Veggie",5,117.68095923531,131.554918416356
8,"Veggie",5,115.254366091319,128.386191294398
9,"Veggie",5,124.298496874776,135.722648010076
10,"Veggie",5,125.159925540796,135.056260090586
