"t","condition","iv","dv","dvb"
1,"Fruit",15,142.885333651029,133.829949785602
2,"Fruit",15,151.173120410964,123.4332228575
3,"Fruit",15,146.745692144469,109.899364510073
4,"Fruit",15,150.719171286957,125.642099448925
5,"Fruit",15,137.306494619339,138.49748344939
6,"Fruit",15,133.463895174391,139.916584592956
7,"Fruit",15,115.54075547234,118.390736060151
8,"Fruit",15,135.817274962073,119.551189251359
9,"Fruit",15,144.900616111399,136.333761806972
10,"Fruit",15,136.689338568843,116.975542819866
1,"Veggie",5,133.829949785602,142.885333651029
2,"Veggie",5,123.4332228575,151.173120410964
3,"Veggie",5,109.899364510073,146.745692144469
4,"Veggie",5,125.642099448925,150.719171286957
5,"Veggie",5,138.49748344939,137.306494619339
6,"Veggie",5,139.916584592956,133.463895174391
7,"Veggie",5,118.390736060151,115.54075547234
8,"Veggie",5,119.551189251359,135.817274962073
9,"Veggie",5,136.333761806972,144.900616111399
10,"Veggie",5,116.975542819866,136.689338568843
