"t","condition","iv","wdv","wdvb"
1,"Fruit",15,116.298634110969,100.523809419086
2,"Fruit",15,148.114794777918,147.522460221196
3,"Fruit",15,128.509861552058,126.832987103526
4,"Fruit",15,145.138330663086,142.299773435409
5,"Fruit",15,129.210341035993,111.061803864457
6,"Fruit",15,108.34715008481,97.9364505905926
7,"Fruit",15,178.961482680326,167.829570710446
8,"Fruit",15,140.155642915887,133.015832736719
9,"Fruit",15,105.97064931944,104.5752943341
10,"Fruit",15,142.477203826572,125.042933194065
1,"Veggie",5,100.523809419086,116.298634110969
2,"Veggie",5,147.522460221196,148.114794777918
3,"Veggie",5,126.832987103526,128.509861552058
4,"Veggie",5,142.299773435409,145.138330663086
5,"Veggie",5,111.061803864457,129.210341035993
6,"Veggie",5,97.9364505905926,108.34715008481
7,"Veggie",5,167.829570710446,178.961482680326
8,"Veggie",5,133.015832736719,140.155642915887
9,"Veggie",5,104.5752943341,105.97064931944
10,"Veggie",5,125.042933194065,142.477203826572
