"t","condition","iv","dv","measure"
1,"Fruit",15,13.5469165623577,"???"
2,"Fruit",15,16.196006202893,"???"
3,"Fruit",15,8.76884039492797,"???"
4,"Fruit",15,3.78854772433586,"???"
5,"Fruit",15,18.3800062109989,"???"
6,"Fruit",15,10.839095584048,"???"
7,"Fruit",15,3.09723331953577,"???"
8,"Fruit",15,21.1626133633162,"???"
9,"Fruit",15,18.5942600387513,"???"
10,"Fruit",15,13.4551193737571,"???"
11,"Veggie",5,31.6532419999694,"???"
12,"Veggie",5,15.4458277235587,"???"
13,"Veggie",5,14.2730419508806,"???"
14,"Veggie",5,22.4099933652288,"???"
15,"Veggie",5,26.5076236098122,"???"
16,"Veggie",5,12.2760109330524,"???"
17,"Veggie",5,14.8445048362281,"???"
18,"Veggie",5,14.2062370027135,"???"
19,"Veggie",5,25.804183295564,"???"
20,"Veggie",5,12.228196962051,"???"
