"t","condition","iv","dv","dvb"
1,"Fruit",15,200.047887422272,180.899404584315
2,"Fruit",15,173.205201207545,163.226317555397
3,"Fruit",15,192.771499215321,174.220258762138
4,"Fruit",15,201.590842656447,181.860954117868
5,"Fruit",15,187.096151877212,174.266841546231
6,"Fruit",15,202.00168264292,182.853199804963
7,"Fruit",15,184.080013205199,174.101129553051
8,"Fruit",15,209.122026376656,190.570785923472
9,"Fruit",15,189.202171137372,169.472282598792
10,"Fruit",15,188.235063791669,175.405753460687
1,"Veggie",5,180.899404584315,200.047887422272
2,"Veggie",5,163.226317555397,173.205201207545
3,"Veggie",5,174.220258762138,192.771499215321
4,"Veggie",5,181.860954117868,201.590842656447
5,"Veggie",5,174.266841546231,187.096151877212
6,"Veggie",5,182.853199804963,202.00168264292
7,"Veggie",5,174.101129553051,184.080013205199
8,"Veggie",5,190.570785923472,209.122026376656
9,"Veggie",5,169.472282598792,189.202171137372
10,"Veggie",5,175.405753460687,188.235063791669
