"t","condition","iv","wdv","wdvb"
1,"Fruit",15,153.372882550104,149.002557074458
2,"Fruit",15,161.668713575834,137.033055868326
3,"Fruit",15,163.608343158093,145.615434047984
4,"Fruit",15,135.090712067764,123.385093407391
5,"Fruit",15,152.877222283978,146.856064462522
6,"Fruit",15,129.064809815411,115.409758810829
7,"Fruit",15,157.71335225949,130.144799469793
8,"Fruit",15,110.376193763795,112.845640856645
9,"Fruit",15,143.531331011369,142.223167520946
10,"Fruit",15,127.96671484689,115.722898219689
1,"Veggie",5,149.002557074458,153.372882550104
2,"Veggie",5,137.033055868326,161.668713575834
3,"Veggie",5,145.615434047984,163.608343158093
4,"Veggie",5,123.385093407391,135.090712067764
5,"Veggie",5,146.856064462522,152.877222283978
6,"Veggie",5,115.409758810829,129.064809815411
7,"Veggie",5,130.144799469793,157.71335225949
8,"Veggie",5,112.845640856645,110.376193763795
9,"Veggie",5,142.223167520946,143.531331011369
10,"Veggie",5,115.722898219689,127.96671484689
