"t","condition","iv","wdv","wdvb"
1,"Fruit",15,148.031893800659,121.455275585365
2,"Fruit",15,158.748478945229,134.727717693855
3,"Fruit",15,149.654933210187,137.164674699442
4,"Fruit",15,158.391466302076,138.965030133612
5,"Fruit",15,119.250247526046,118.696764278132
6,"Fruit",15,147.780657304888,149.987043745608
7,"Fruit",15,124.605565300231,140.197671608774
8,"Fruit",15,130.067535083831,117.36765463492
9,"Fruit",15,95.4734539317921,100.979214355078
10,"Fruit",15,152.574599116529,145.231429365345
1,"Veggie",5,121.455275585365,148.031893800659
2,"Veggie",5,134.727717693855,158.748478945229
3,"Veggie",5,137.164674699442,149.654933210187
4,"Veggie",5,138.965030133612,158.391466302076
5,"Veggie",5,118.696764278132,119.250247526046
6,"Veggie",5,149.987043745608,147.780657304888
7,"Veggie",5,140.197671608774,124.605565300231
8,"Veggie",5,117.36765463492,130.067535083831
9,"Veggie",5,100.979214355078,95.4734539317921
10,"Veggie",5,145.231429365345,152.574599116529
