"t","condition","iv","dv","measure"
1,"Fruit",15,8.02682272554859,"???"
2,"Fruit",15,3.70806893119117,"???"
3,"Fruit",15,17.0164676390397,"???"
4,"Fruit",15,9.18322479527033,"???"
5,"Fruit",15,7.08338440039794,"???"
6,"Fruit",15,-4.16606813113478,"???"
7,"Fruit",15,-0.170147859528527,"???"
8,"Fruit",15,3.33285493278721,"???"
9,"Fruit",15,16.5750231097677,"???"
10,"Fruit",15,2.79876879114985,"???"
11,"Veggie",5,14.0193392475926,"???"
12,"Veggie",5,20.3612679492102,"???"
13,"Veggie",5,23.9192026054417,"???"
14,"Veggie",5,15.3024596555604,"???"
15,"Veggie",5,19.6585016397608,"???"
16,"Veggie",5,20.6534428842349,"???"
17,"Veggie",5,19.2429817059403,"???"
18,"Veggie",5,9.23328397344023,"???"
19,"Veggie",5,28.7389015967465,"???"
20,"Veggie",5,32.0778731673093,"???"
