"t","condition","iv","dv","dvb"
1,"Fruit",15,122.591230770526,111.250238469122
2,"Fruit",15,135.563699065255,124.397774288247
3,"Fruit",15,123.843360600756,114.750280813649
4,"Fruit",15,151.75589399281,127.679892383524
5,"Fruit",15,129.451833495362,127.105538577438
6,"Fruit",15,129.536966258141,121.271532927256
7,"Fruit",15,154.389387664209,151.575831002219
8,"Fruit",15,142.363819016909,122.979509707112
9,"Fruit",15,124.681245888529,123.711768612516
10,"Fruit",15,144.216013988036,127.073453282047
1,"Veggie",5,111.250238469122,122.591230770526
2,"Veggie",5,124.397774288247,135.563699065255
3,"Veggie",5,114.750280813649,123.843360600756
4,"Veggie",5,127.679892383524,151.75589399281
5,"Veggie",5,127.105538577438,129.451833495362
6,"Veggie",5,121.271532927256,129.536966258141
7,"Veggie",5,151.575831002219,154.389387664209
8,"Veggie",5,122.979509707112,142.363819016909
9,"Veggie",5,123.711768612516,124.681245888529
10,"Veggie",5,127.073453282047,144.216013988036
