"t","condition","iv","wdv","wdvb"
1,"Fruit",15,127.958513165227,118.322901083323
2,"Fruit",15,134.982415737808,108.993753529219
3,"Fruit",15,138.442303852624,130.006989893585
4,"Fruit",15,137.215577040996,121.166835439715
5,"Fruit",15,132.119097083941,123.698516701688
6,"Fruit",15,163.627686922456,153.864495389391
7,"Fruit",15,157.364203244206,145.303418862246
8,"Fruit",15,133.280994500299,120.423383351005
9,"Fruit",15,111.509151845475,95.1776485487289
10,"Fruit",15,120.820240811791,116.770809362461
1,"Veggie",5,118.322901083323,127.958513165227
2,"Veggie",5,108.993753529219,134.982415737808
3,"Veggie",5,130.006989893585,138.442303852624
4,"Veggie",5,121.166835439715,137.215577040996
5,"Veggie",5,123.698516701688,132.119097083941
6,"Veggie",5,153.864495389391,163.627686922456
7,"Veggie",5,145.303418862246,157.364203244206
8,"Veggie",5,120.423383351005,133.280994500299
9,"Veggie",5,95.1776485487289,111.509151845475
10,"Veggie",5,116.770809362461,120.820240811791
