"t","condition","iv","wdv","wdvb"
1,"Fruit",15,125.543829725984,117.455524453831
2,"Fruit",15,154.644473014867,134.600404185843
3,"Fruit",15,142.520721396158,130.467720186639
4,"Fruit",15,157.261530730988,143.918183241171
5,"Fruit",15,117.71312484858,124.778908586416
6,"Fruit",15,148.494039467023,113.924394748242
7,"Fruit",15,140.22735583431,141.835873475251
8,"Fruit",15,125.820901730323,107.220359935084
9,"Fruit",15,127.843159069825,129.722598523902
10,"Fruit",15,140.3329512824,133.227491454922
1,"Veggie",5,117.455524453831,125.543829725984
2,"Veggie",5,134.600404185843,154.644473014867
3,"Veggie",5,130.467720186639,142.520721396158
4,"Veggie",5,143.918183241171,157.261530730988
5,"Veggie",5,124.778908586416,117.71312484858
6,"Veggie",5,113.924394748242,148.494039467023
7,"Veggie",5,141.835873475251,140.22735583431
8,"Veggie",5,107.220359935084,125.820901730323
9,"Veggie",5,129.722598523902,127.843159069825
10,"Veggie",5,133.227491454922,140.3329512824
