"t","condition","iv","wdv","wdvb"
1,"Fruit",15,146.184428476806,142.15352995811
2,"Fruit",15,127.929035166758,124.755242678112
3,"Fruit",15,157.369357700219,141.136750483741
4,"Fruit",15,149.35845104836,125.957423721643
5,"Fruit",15,107.890386740001,98.7598329891181
6,"Fruit",15,121.859656100013,105.12867888928
7,"Fruit",15,161.82539002503,152.633456764848
8,"Fruit",15,116.301676946614,104.840716403197
9,"Fruit",15,153.014730165875,140.688417943852
10,"Fruit",15,128.100810450643,124.291747849303
1,"Veggie",5,142.15352995811,146.184428476806
2,"Veggie",5,124.755242678112,127.929035166758
3,"Veggie",5,141.136750483741,157.369357700219
4,"Veggie",5,125.957423721643,149.35845104836
5,"Veggie",5,98.7598329891181,107.890386740001
6,"Veggie",5,105.12867888928,121.859656100013
7,"Veggie",5,152.633456764848,161.82539002503
8,"Veggie",5,104.840716403197,116.301676946614
9,"Veggie",5,140.688417943852,153.014730165875
10,"Veggie",5,124.291747849303,128.100810450643
