"t","condition","iv","dv","dvb"
1,"Fruit",15,124.954122847162,128.890267531976
2,"Fruit",15,132.034255164209,149.111550242749
3,"Fruit",15,142.596749337484,113.743901350723
4,"Fruit",15,140.537312077228,127.594796030298
5,"Fruit",15,152.475407104502,142.630268566832
6,"Fruit",15,140.141062975893,128.515787885658
7,"Fruit",15,137.095144324493,125.170526321251
8,"Fruit",15,151.904713924822,131.928848977311
9,"Fruit",15,140.053631825961,130.809802379698
10,"Fruit",15,143.080302894316,121.687793189328
1,"Veggie",5,128.890267531976,124.954122847162
2,"Veggie",5,149.111550242749,132.034255164209
3,"Veggie",5,113.743901350723,142.596749337484
4,"Veggie",5,127.594796030298,140.537312077228
5,"Veggie",5,142.630268566832,152.475407104502
6,"Veggie",5,128.515787885658,140.141062975893
7,"Veggie",5,125.170526321251,137.095144324493
8,"Veggie",5,131.928848977311,151.904713924822
9,"Veggie",5,130.809802379698,140.053631825961
10,"Veggie",5,121.687793189328,143.080302894316
