"t","condition","iv","dv","dvb"
1,"Fruit",15,193.45237077733,174.589257580789
2,"Fruit",15,187.65711796959,163.950654678019
3,"Fruit",15,214.750870472172,201.307684686974
4,"Fruit",15,201.047536890035,192.477911627445
5,"Fruit",15,198.690892811551,182.819881803416
6,"Fruit",15,203.572015257598,187.570782028695
7,"Fruit",15,186.879338139686,164.721894829247
8,"Fruit",15,200.040475827305,179.432289474114
9,"Fruit",15,190.408933987265,191.70013179754
10,"Fruit",15,184.953990153271,172.700237323148
1,"Veggie",5,174.589257580789,193.45237077733
2,"Veggie",5,163.950654678019,187.65711796959
3,"Veggie",5,201.307684686974,214.750870472172
4,"Veggie",5,192.477911627445,201.047536890035
5,"Veggie",5,182.819881803416,198.690892811551
6,"Veggie",5,187.570782028695,203.572015257598
7,"Veggie",5,164.721894829247,186.879338139686
8,"Veggie",5,179.432289474114,200.040475827305
9,"Veggie",5,191.70013179754,190.408933987265
10,"Veggie",5,172.700237323148,184.953990153271
