"t","condition","iv","wdv","wdvb"
1,"Fruit",15,148.593017271506,144.178998912879
2,"Fruit",15,149.204036867969,145.602056147195
3,"Fruit",15,131.00135675551,131.452962762329
4,"Fruit",15,148.256115291489,133.967502118949
5,"Fruit",15,138.413956595694,137.851025893258
6,"Fruit",15,127.149843795423,131.998639382075
7,"Fruit",15,141.234890455424,131.712421812703
8,"Fruit",15,135.497506065064,125.404973259436
9,"Fruit",15,165.795224931702,143.629989070929
10,"Fruit",15,95.1959496602775,94.5836995394456
1,"Veggie",5,144.178998912879,148.593017271506
2,"Veggie",5,145.602056147195,149.204036867969
3,"Veggie",5,131.452962762329,131.00135675551
4,"Veggie",5,133.967502118949,148.256115291489
5,"Veggie",5,137.851025893258,138.413956595694
6,"Veggie",5,131.998639382075,127.149843795423
7,"Veggie",5,131.712421812703,141.234890455424
8,"Veggie",5,125.404973259436,135.497506065064
9,"Veggie",5,143.629989070929,165.795224931702
10,"Veggie",5,94.5836995394456,95.1959496602775
