"t","condition","iv","wdv","wdvb"
1,"Fruit",15,143.72688800563,128.473350866066
2,"Fruit",15,129.59914077604,125.230133316403
3,"Fruit",15,122.222988308827,116.43612258197
4,"Fruit",15,137.890588491694,120.785130897437
5,"Fruit",15,118.103859745541,111.171796793803
6,"Fruit",15,165.616307206173,146.354597501182
7,"Fruit",15,145.393706257268,129.312884052799
8,"Fruit",15,172.250726556759,161.287479587986
9,"Fruit",15,134.099025567956,123.363464457723
10,"Fruit",15,126.162652358897,111.995305422838
1,"Veggie",5,128.473350866066,143.72688800563
2,"Veggie",5,125.230133316403,129.59914077604
3,"Veggie",5,116.43612258197,122.222988308827
4,"Veggie",5,120.785130897437,137.890588491694
5,"Veggie",5,111.171796793803,118.103859745541
6,"Veggie",5,146.354597501182,165.616307206173
7,"Veggie",5,129.312884052799,145.393706257268
8,"Veggie",5,161.287479587986,172.250726556759
9,"Veggie",5,123.363464457723,134.099025567956
10,"Veggie",5,111.995305422838,126.162652358897
