"t","condition","iv","wdv","wdvb"
1,"Fruit",15,141.837694837303,124.641785437588
2,"Fruit",15,133.673604462553,135.367391828666
3,"Fruit",15,132.961103852422,129.654830979931
4,"Fruit",15,125.396612213199,121.628763392792
5,"Fruit",15,108.429511531562,112.532432329954
6,"Fruit",15,154.980093930425,154.480314168167
7,"Fruit",15,153.14519546127,142.30405741347
8,"Fruit",15,135.966734226741,129.28596525195
9,"Fruit",15,145.00693429751,130.155162094086
10,"Fruit",15,127.329067408006,131.986109268406
1,"Veggie",5,124.641785437588,141.837694837303
2,"Veggie",5,135.367391828666,133.673604462553
3,"Veggie",5,129.654830979931,132.961103852422
4,"Veggie",5,121.628763392792,125.396612213199
5,"Veggie",5,112.532432329954,108.429511531562
6,"Veggie",5,154.480314168167,154.980093930425
7,"Veggie",5,142.30405741347,153.14519546127
8,"Veggie",5,129.28596525195,135.966734226741
9,"Veggie",5,130.155162094086,145.00693429751
10,"Veggie",5,131.986109268406,127.329067408006
