"t","condition","iv","dv","dvb"
1,"Fruit",15,122.913687063639,111.278051597649
2,"Fruit",15,142.356716670204,136.208501651045
3,"Fruit",15,122.537317697565,126.61040560207
4,"Fruit",15,136.965374944966,128.907495040628
5,"Fruit",15,118.403443061901,126.615252075657
6,"Fruit",15,154.664782091407,139.701782023408
7,"Fruit",15,122.721167075693,119.863442400793
8,"Fruit",15,134.240676689991,119.676045256736
9,"Fruit",15,148.59901929635,145.946528011248
10,"Fruit",15,155.540035981029,146.112111669526
1,"Veggie",5,111.278051597649,122.913687063639
2,"Veggie",5,136.208501651045,142.356716670204
3,"Veggie",5,126.61040560207,122.537317697565
4,"Veggie",5,128.907495040628,136.965374944966
5,"Veggie",5,126.615252075657,118.403443061901
6,"Veggie",5,139.701782023408,154.664782091407
7,"Veggie",5,119.863442400793,122.721167075693
8,"Veggie",5,119.676045256736,134.240676689991
9,"Veggie",5,145.946528011248,148.59901929635
10,"Veggie",5,146.112111669526,155.540035981029
