"t","condition","iv","dv","measure"
1,"Fruit",15,1.03173941169114,"???"
2,"Fruit",15,6.00890630762591,"???"
3,"Fruit",15,9.7609621766257,"???"
4,"Fruit",15,18.1158377359763,"???"
5,"Fruit",15,17.9117771853451,"???"
6,"Fruit",15,6.92327519545496,"???"
7,"Fruit",15,11.1942055633097,"???"
8,"Fruit",15,5.53356839751231,"???"
9,"Fruit",15,10.6449984864159,"???"
10,"Fruit",15,17.7495596261222,"???"
11,"Veggie",5,24.9655635001101,"???"
12,"Veggie",5,23.1661454121217,"???"
13,"Veggie",5,22.625751021484,"???"
14,"Veggie",5,20.5943368577456,"???"
15,"Veggie",5,15.7720764671445,"???"
16,"Veggie",5,15.3380554823745,"???"
17,"Veggie",5,24.8396095269178,"???"
18,"Veggie",5,14.7089606197765,"???"
19,"Veggie",5,12.7864114321767,"???"
20,"Veggie",5,17.4425794454991,"???"
