"t","condition","iv","wdv","wdvb"
1,"Fruit",15,130.459045586134,119.762287430422
2,"Fruit",15,122.006553120472,123.024453114176
3,"Fruit",15,107.236735242965,107.924564017405
4,"Fruit",15,128.739362247586,103.606837820375
5,"Fruit",15,118.364363678567,120.477526873289
6,"Fruit",15,124.628830991364,124.114238873229
7,"Fruit",15,166.51993312417,134.430730221458
8,"Fruit",15,123.514843059468,121.32260563403
9,"Fruit",15,142.88286003695,142.887006953556
10,"Fruit",15,126.166547572141,126.954267164488
1,"Veggie",5,119.762287430422,130.459045586134
2,"Veggie",5,123.024453114176,122.006553120472
3,"Veggie",5,107.924564017405,107.236735242965
4,"Veggie",5,103.606837820375,128.739362247586
5,"Veggie",5,120.477526873289,118.364363678567
6,"Veggie",5,124.114238873229,124.628830991364
7,"Veggie",5,134.430730221458,166.51993312417
8,"Veggie",5,121.32260563403,123.514843059468
9,"Veggie",5,142.887006953556,142.88286003695
10,"Veggie",5,126.954267164488,126.166547572141
