"t","condition","iv","wdv","wdvb"
1,"Fruit",15,126.912888572102,109.186258061676
2,"Fruit",15,100.003300323482,83.4827378005911
3,"Fruit",15,136.197211883722,112.150244420256
4,"Fruit",15,142.794963023291,137.933278124157
5,"Fruit",15,118.602291791264,112.420185749257
6,"Fruit",15,125.314350974309,117.413891054
7,"Fruit",15,143.657871726067,128.088603170529
8,"Fruit",15,145.986422845948,138.557050911479
9,"Fruit",15,133.646681329135,114.607236437887
10,"Fruit",15,156.410096216746,138.031111789731
1,"Veggie",5,109.186258061676,126.912888572102
2,"Veggie",5,83.4827378005911,100.003300323482
3,"Veggie",5,112.150244420256,136.197211883722
4,"Veggie",5,137.933278124157,142.794963023291
5,"Veggie",5,112.420185749257,118.602291791264
6,"Veggie",5,117.413891054,125.314350974309
7,"Veggie",5,128.088603170529,143.657871726067
8,"Veggie",5,138.557050911479,145.986422845948
9,"Veggie",5,114.607236437887,133.646681329135
10,"Veggie",5,138.031111789731,156.410096216746
