0.0047,0.0014,0.1932,0.0014,1,1,0,1
0.1307,0.0213,0.3996,0.0213,0,1,0,1
0.0346,0.0158,0.1726,0.0158,1,1,0,1
0.2687,0.0949,0.3212,0.0949,0,0,0,0
0.0032,0.0032,0.1112,0.0032,1,1,0,1
0.0132,0.001,0.277,0.001,1,1,0,1
0.0287,0.0018,0.2574,0.0018,1,1,0,1
0.0049,0.0015,0.2321,0.0015,1,1,0,1
0.0776,0.018,0.4776,0.018,0,1,0,1
0.0533,6e-04,0.2084,6e-04,0,1,0,1
0.0985,0.0073,0.0373,0.0073,0,1,1,1
0.279,0.0647,0.5384,0.0647,0,0,0,0
0.0626,0.0055,0.3138,0.0055,0,1,0,1
0.2102,0.0222,0.4539,0.0222,0,1,0,1
0.1036,0.0047,0.24,0.0047,0,1,0,1
0.0283,2e-04,0.0578,2e-04,1,1,0,1
0.0183,1e-04,0.0633,1e-04,1,1,0,1
0.1284,0.0036,0.2325,0.0036,0,1,0,1
0.0626,0.0272,0.4208,0.0272,0,1,0,1
0.0195,0.001,0.3374,0.001,1,1,0,1
0.0465,0.0028,0.2089,0.0028,1,1,0,1
0.1149,0.0096,0.2422,0.0096,0,1,0,1
0.3628,0.1392,0.59,0.1392,0,0,0,0
0.0595,0.0046,0.0813,0.0046,0,1,0,1
0.1051,0.0304,0.2434,0.0304,0,1,0,1
0.106,0.007,0.402,0.007,0,1,0,1
0.0846,0.0137,0.3684,0.0137,0,1,0,1
0.0395,0.0192,0.3662,0.0192,1,1,0,1
0.0791,0.0412,0.4887,0.0412,0,1,0,1
0.0497,0.0026,0.1472,0.0026,1,1,0,1
0.006,1e-04,0.1097,1e-04,1,1,0,1
0.1185,8e-04,0.263,8e-04,0,1,0,1
0.1934,0.0613,0.4638,0.0613,0,0,0,0
0.0056,3e-04,0.2815,3e-04,1,1,0,1
0.0309,0.0062,0.1869,0.0062,1,1,0,1
0.0936,0.0141,0.4089,0.0141,0,1,0,1
0.0431,0.0017,0.294,0.0017,1,1,0,1
0.2471,0.0248,0.2676,0.0248,0,1,0,1
0.0288,0.0068,0.338,0.0068,1,1,0,1
0.0335,4e-04,0.093,4e-04,1,1,0,1
0.0371,3e-04,0.1041,3e-04,1,1,0,1
0.04,0.0069,0.2296,0.0069,1,1,0,1
0.109,0.0057,0.2617,0.0057,0,1,0,1
0.0107,1e-04,0.007,1e-04,1,1,1,1
0.1069,0.0229,0.454,0.0229,0,1,0,1
8e-04,1e-04,0.0553,1e-04,1,1,0,1
0.122,0.0793,0.4439,0.0793,0,0,0,0
0.1781,0.0016,0.3351,0.0016,0,1,0,1
0.0974,0.0302,0.144,0.0302,0,1,0,1
0.2847,0.0404,0.428,0.0404,0,1,0,1
