0.0096,0.0026,0.1067,0.0026,1,1,0,1
0.1899,0.1662,0.4296,0.1662,0,0,0,0
0.3481,0.0079,0.6213,0.0079,0,1,0,1
0.001,1e-04,0.0328,1e-04,1,1,1,1
0.0952,0.0259,0.3169,0.0259,0,1,0,1
0.0019,1e-04,0.0807,1e-04,1,1,0,1
0.0259,1e-04,0.215,1e-04,1,1,0,1
0.0414,0.0027,0.2204,0.0027,1,1,0,1
0.0318,0.0247,0.2031,0.0247,1,1,0,1
0.1018,0.0059,0.3489,0.0059,0,1,0,1
6e-04,4e-04,0.0371,4e-04,1,1,1,1
0.4033,1e-04,0.6215,1e-04,0,1,0,1
0.0311,0.0011,0.2186,0.0011,1,1,0,1
0.1628,7e-04,0.4383,7e-04,0,1,0,1
0.0407,5e-04,0.2708,5e-04,1,1,0,1
0.0065,0.0202,0.0369,0.0202,1,1,1,1
0.1881,0.0521,0.4958,0.0521,0,0,0,0
0.1488,1e-04,0.4518,1e-04,0,1,0,1
0.0526,0.0093,0.2865,0.0093,0,1,0,1
0.0547,0.0031,0.2339,0.0031,0,1,0,1
0.4995,0.1591,0.6739,0.1591,0,0,0,0
0.2287,0.0477,0.457,0.0477,0,1,0,1
0.0023,4e-04,0.0426,4e-04,1,1,1,1
0.0852,0.0242,0.3064,0.0242,0,1,0,1
0.0183,0.0015,0.1729,0.0015,1,1,0,1
0.5582,0.4886,0.7296,0.4886,0,0,0,0
0.1532,4e-04,0.4335,4e-04,0,1,0,1
0.1435,2e-04,0.4286,2e-04,0,1,0,1
0.1874,0.0284,0.4785,0.0284,0,1,0,1
0.1932,0.0011,0.4554,0.0011,0,1,0,1
0.0314,0.0191,0.2031,0.0191,1,1,0,1
0.0043,0.0022,0.0567,0.0022,1,1,0,1
0.0433,0.0015,0.3043,0.0015,1,1,0,1
0.0623,1e-04,0.2638,1e-04,0,1,0,1
0.0056,1e-04,0.0803,1e-04,1,1,0,1
0.0125,0.0029,0.1158,0.0029,1,1,0,1
0.4621,0.0528,0.6816,0.0528,0,0,0,0
0.1885,0.0023,0.4637,0.0023,0,1,0,1
0.0074,5e-04,0.1263,5e-04,1,1,0,1
0.0288,2e-04,0.1642,2e-04,1,1,0,1
0.0381,0.0187,0.1775,0.0187,1,1,0,1
0.1421,0.004,0.4218,0.004,0,1,0,1
0.0026,0.0067,0.0179,0.0067,1,1,1,1
0.0011,1e-04,0.0375,1e-04,1,1,1,1
0.0421,1e-04,0.2296,1e-04,1,1,0,1
0.7557,0.4534,0.8615,0.4534,0,0,0,0
0.0276,0.0178,0.1614,0.0178,1,1,0,1
0.1292,1e-04,0.3894,1e-04,0,1,0,1
0.0234,0.002,0.1821,0.002,1,1,0,1
0.1125,0.0055,0.3903,0.0055,0,1,0,1
