t,condition,iv,dv,measure
1,Relaxing music,15,12.70428258,10.5
3,Relaxing music,15,11.9577113,10.5
5,Relaxing music,15,11.5628467,10.5
7,Relaxing music,15,11.21449108,10.5
9,Relaxing music,15,10.87054516,10.5
11,Relaxing music,15,11.59017628,10.4
13,Relaxing music,15,12.54186873,10.3
15,Relaxing music,15,11.56129389,10.2
17,Relaxing music,15,11.85238241,10.1
19,Relaxing music,15,12.66903679,10
21,Control,30,8.734967121,9.8
23,Control,30,8.994506285,9.6
25,Control,30,8.689243215,9.4
27,Control,30,9.920040456,9.2
29,Control,30,9.845314975,9
31,Control,30,8.388755609,8.7
33,Control,30,10.23509478,8.4
35,Control,30,9.497818244,8.1
37,Control,30,10.66560747,7.8
39,Control,30,7.855149016,7.5
41,Meditation,45,8.70428258,7.2
43,Meditation,45,8.93477113,7
45,Meditation,45,6.5628467,6.8
47,Meditation,45,7.45449108,6.6
49,Meditation,45,7.87054516,6.4
51,Meditation,45,6.99017628,6.2
53,Meditation,45,8.54186873,6
55,Meditation,45,6.78129389,5.9
57,Meditation,45,8.85238241,5.8
59,Meditation,45,7.96903679,5.7
