t,condition,iv,dv,measure
1,Exercise regimen,5,10.38233825,3
5,Exercise regimen,5,9.417820028,3
10,Exercise regimen,5,11.7637794,5
15,Exercise regimen,5,11.28161147,8
20,Exercise regimen,5,10.92010303,11
25,Exercise regimen,5,10.20289232,11
30,Exercise regimen,5,10.374024,11
35,Exercise regimen,5,10.75539873,8
40,Exercise regimen,5,11.90494212,5
45,Exercise regimen,5,10.39403271,3
50,Read short story,15,3.521432771,3
55,Read short story,15,3.32099245,3
60,Read short story,15,3.443192845,3
65,Read short story,15,3.695376957,3
70,Read short story,15,3.106650645,3
75,Read short story,15,4.495002246,3
80,Read short story,15,3.287027819,3
85,Read short story,15,3.066436593,3
90,Read short story,15,3.214696025,3
95,Read short story,15,4.175870802,3
