t,condition,iv,dv,measure
1,Read short story,5,3.423921263,3
2,Read short story,5,3.314295232,3
3,Read short story,5,3.435038882,3
4,Read short story,5,3.356437575,3
5,Read short story,5,3.190351871,3
6,Read short story,5,4.071364032,3
7,Read short story,5,2.958230616,3
8,Read short story,5,3.251387192,3
9,Read short story,5,3.269518404,3
10,Read short story,5,3.95612873,3
11,Exercise regimen,15,10.11023146,3
12,Exercise regimen,15,10.99624391,3
13,Exercise regimen,15,11.13410387,5
14,Exercise regimen,15,10.87462281,8
15,Exercise regimen,15,10.55590379,11
16,Exercise regimen,15,9.831908012,11
17,Exercise regimen,15,9.893456901,10.9
18,Exercise regimen,15,10.31587586,10.8
19,Exercise regimen,15,11.0564708,10.7
20,Exercise regimen,15,10.34721672,10.6
1,Exercise regimen,5,10.67135923,3
2,Exercise regimen,5,9.645344807,3
3,Exercise regimen,5,11.94892254,5
4,Exercise regimen,5,10.99444606,8
5,Exercise regimen,5,11.04030414,11
6,Exercise regimen,5,10.23991203,11
7,Exercise regimen,5,10.10997611,10.9
8,Exercise regimen,5,10.69888802,10.8
9,Exercise regimen,5,11.79014717,10.7
10,Exercise regimen,5,10.27365297,10.6
11,Read short story,15,9.405238127,10.5
12,Read short story,15,8.694404476,10.4
13,Read short story,15,10.69555582,10.3
14,Read short story,15,9.101925855,10.2
15,Read short story,15,9.515013578,10.1
16,Read short story,15,10.50123171,10
17,Read short story,15,11.11782958,9.9
18,Read short story,15,9.71509108,9.8
19,Read short story,15,10.23126649,9.7
20,Read short story,15,11.18025651,9.6
