t,condition,iv,dv,measure
1,Exercise regimen,5,10.67135923,3
2,Exercise regimen,5,9.645344807,3
3,Exercise regimen,5,11.94892254,5
4,Exercise regimen,5,10.99444606,8
5,Exercise regimen,5,11.04030414,11
6,Exercise regimen,5,10.23991203,11
7,Exercise regimen,5,10.10997611,10.9
8,Exercise regimen,5,10.69888802,10.8
9,Exercise regimen,5,11.79014717,10.7
10,Exercise regimen,5,10.27365297,10.6
11,Read short story,15,9.405238127,10.5
12,Read short story,15,8.694404476,10.4
13,Read short story,15,10.69555582,10.3
14,Read short story,15,9.101925855,10.2
15,Read short story,15,9.515013578,10.1
16,Read short story,15,10.50123171,10
17,Read short story,15,11.11782958,9.9
18,Read short story,15,9.71509108,9.8
19,Read short story,15,10.23126649,9.7
20,Read short story,15,11.18025651,9.6
