t,condition,iv,dv,measure
1,Exercise regimen,5,10.38233825,3
2,Exercise regimen,5,9.417820028,3
3,Exercise regimen,5,11.7637794,5
4,Exercise regimen,5,11.28161147,8
5,Exercise regimen,5,10.92010303,11
6,Exercise regimen,5,10.20289232,11
7,Exercise regimen,5,10.374024,8
8,Exercise regimen,5,10.75539873,5
9,Exercise regimen,5,11.90494212,3
10,Exercise regimen,5,10.39403271,3
11,Read short story,15,3.521432771,3
12,Read short story,15,3.32099245,3
13,Read short story,15,3.443192845,3
14,Read short story,15,3.695376957,3
15,Read short story,15,3.106650645,3
16,Read short story,15,4.495002246,3
17,Read short story,15,3.287027819,3
18,Read short story,15,3.066436593,3
19,Read short story,15,3.214696025,3
20,Read short story,15,4.175870802,3
